,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,TAIL_NUM,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DEL15,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,Unnamed: 25
0,2016,1,1,1,5,DL,N836DN,1399,10397,ATL,14747,SEA,1905,1907.0,2.0,0.0,2143,2102.0,-41.0,0.0,0.0,0.0,338.0,295.0,2182.0,
1,2016,1,1,1,5,DL,N964DN,1476,11433,DTW,13487,MSP,1345,1344.0,-1.0,0.0,1435,1439.0,4.0,0.0,0.0,0.0,110.0,115.0,528.0,
2,2016,1,1,1,5,DL,N813DN,1597,10397,ATL,14747,SEA,940,942.0,2.0,0.0,1215,1142.0,-33.0,0.0,0.0,0.0,335.0,300.0,2182.0,
3,2016,1,1,1,5,DL,N587NW,1768,14747,SEA,13487,MSP,819,820.0,1.0,0.0,1335,1345.0,10.0,0.0,0.0,0.0,196.0,205.0,1399.0,
4,2016,1,1,1,5,DL,N836DN,1823,14747,SEA,11433,DTW,2300,2256.0,-4.0,0.0,607,615.0,8.0,0.0,0.0,0.0,247.0,259.0,1927.0,
5,2016,1,1,1,5,DL,N936DL,1975,13487,MSP,10397,ATL,1129,1127.0,-2.0,0.0,1459,1441.0,-18.0,0.0,0.0,0.0,150.0,134.0,907.0,
6,2016,1,1,2,6,DL,N983DL,2074,10397,ATL,13487,MSP,1745,1745.0,0.0,0.0,1931,1920.0,-11.0,0.0,0.0,0.0,166.0,155.0,907.0,
7,2016,1,1,2,6,DL,N589NW,2151,13487,MSP,14747,SEA,1740,1751.0,11.0,0.0,1929,1908.0,-21.0,0.0,0.0,0.0,229.0,197.0,1399.0,
8,2016,1,1,2,6,DL,N804DN,2221,13487,MSP,14747,SEA,1115,1115.0,0.0,0.0,1305,1255.0,-10.0,0.0,0.0,0.0,230.0,220.0,1399.0,
9,2016,1,1,2,6,DL,N965DN,2291,13487,MSP,10397,ATL,1430,1443.0,13.0,0.0,1801,1800.0,-1.0,0.0,0.0,0.0,151.0,137.0,907.0,
10,2016,1,1,2,6,DL,N703TW,2350,10397,ATL,12478,JFK,825,828.0,3.0,0.0,1038,1029.0,-9.0,0.0,0.0,0.0,133.0,121.0,760.0,
11,2016,1,1,2,6,DL,N538US,2444,10397,ATL,14747,SEA,1345,1355.0,10.0,0.0,1621,1605.0,-16.0,0.0,0.0,0.0,336.0,310.0,2182.0,
12,2016,1,1,2,6,DL,N699DL,2610,10397,ATL,13487,MSP,725,721.0,-4.0,0.0,904,903.0,-1.0,0.0,0.0,0.0,159.0,162.0,907.0,
13,2016,1,1,2,6,DL,N582NW,2826,11433,DTW,14747,SEA,835,841.0,6.0,0.0,1047,1023.0,-24.0,0.0,0.0,0.0,312.0,282.0,1927.0,
14,2016,1,1,2,6,DL,N920DE,2845,11433,DTW,10397,ATL,1624,1622.0,-2.0,0.0,1830,1805.0,-25.0,0.0,0.0,0.0,126.0,103.0,594.0,
15,2016,1,1,3,7,DL,N960AT,86,13487,MSP,11433,DTW,1345,1337.0,-8.0,0.0,1620,1616.0,-4.0,0.0,0.0,0.0,95.0,99.0,528.0,
16,2016,1,1,3,7,DL,N3732J,423,12478,JFK,10397,ATL,1300,1258.0,-2.0,0.0,1538,1519.0,-19.0,0.0,0.0,0.0,158.0,141.0,760.0,
17,2016,1,1,2,6,DL,N592NW,1823,11433,DTW,14747,SEA,1728,1724.0,-4.0,0.0,1929,1905.0,-24.0,0.0,0.0,0.0,301.0,281.0,1927.0,
18,2016,1,1,2,6,DL,N833DN,1972,14747,SEA,12478,JFK,715,715.0,0.0,0.0,1530,1519.0,-11.0,0.0,0.0,0.0,315.0,304.0,2422.0,
19,2016,1,1,2,6,DL,N988DL,2005,10397,ATL,11433,DTW,725,723.0,-2.0,0.0,920,920.0,0.0,0.0,0.0,0.0,115.0,117.0,594.0,
20,2016,1,1,2,6,DL,N824NW,2039,10397,ATL,14747,SEA,824,847.0,23.0,1.0,1059,1101.0,2.0,0.0,0.0,0.0,335.0,314.0,2182.0,
21,2016,1,1,3,7,DL,N930DL,902,10397,ATL,11433,DTW,1456,1454.0,-2.0,0.0,1655,1643.0,-12.0,0.0,0.0,0.0,119.0,109.0,594.0,
22,2016,1,1,3,7,DL,N591NW,997,13487,MSP,11433,DTW,833,832.0,-1.0,0.0,1116,1105.0,-11.0,0.0,0.0,0.0,103.0,93.0,528.0,
23,2016,1,1,3,7,DL,N837DN,1108,13487,MSP,10397,ATL,1508,1510.0,2.0,0.0,1835,1818.0,-17.0,0.0,0.0,0.0,147.0,128.0,907.0,
24,2016,1,1,3,7,DL,N681DA,1231,10397,ATL,11433,DTW,1340,1339.0,-1.0,0.0,1537,1524.0,-13.0,0.0,0.0,0.0,117.0,105.0,594.0,
25,2016,1,1,3,7,DL,N536US,1291,14747,SEA,10397,ATL,745,750.0,5.0,0.0,1529,1528.0,-1.0,0.0,0.0,0.0,284.0,278.0,2182.0,
